passenger_id,origin,destination,appear_time,board_time,arrival_time,status,wait_time,travel_time,total_time,assigned_vehicle
P364,8592374,8589138,2247.6319578553457,2741.999984741211,2781.0,ARRIVED,494.3680268858652,39.00001525878906,533.3680421446543,MINIBUS_1
P365,8592374,8587255,2202.078476009384,2341.0,2527.0,ARRIVED,138.92152399061615,186.0,324.92152399061615,
P366,8592374,8587255,2211.3330637400086,2341.0,2527.0,ARRIVED,129.66693625999142,186.0,315.6669362599914,
P367,8592374,8587255,2216.677227113311,2341.0,2527.0,ARRIVED,124.32277288668911,186.0,310.3227728866891,
P368,8592374,8587255,2311.1467794299633,2341.0,2527.0,ARRIVED,29.853220570036683,186.0,215.85322057003668,
P369,8592374,8589131,1848.9028529803438,1996.0,2596.0,ARRIVED,147.09714701965618,600.0,747.0971470196562,
P370,8592374,8589131,2119.4200920450644,2606.0,3201.0,ARRIVED,486.5799079549356,595.0,1081.5799079549356,
P371,8592374,8589131,2263.262201972493,2606.0,3201.0,ARRIVED,342.73779802750687,595.0,937.7377980275069,
P372,8592374,8588344,2169.182641486727,2606.0,3140.0,ARRIVED,436.8173585132731,534.0,970.8173585132731,
P373,8592374,8577786,1894.862335670966,1996.0,2433.0,ARRIVED,101.1376643290339,437.0,538.1376643290339,
P374,8592374,8577786,1975.2375761200685,1996.0,2433.0,ARRIVED,20.762423879931475,437.0,457.7624238799315,
P375,8592374,8577786,2023.1459099425776,2606.0,3052.0,ARRIVED,582.8540900574224,446.0,1028.8540900574224,
P376,8592374,8577786,2031.849954519303,2606.0,3052.0,ARRIVED,574.1500454806969,446.0,1020.1500454806969,
P377,8592374,8577786,2331.9138755197996,2606.0,3052.0,ARRIVED,274.0861244802004,446.0,720.0861244802004,
P378,8592374,8589271,1921.5977388962092,2735.0,3550.0,ARRIVED,813.4022611037908,815.0,1628.4022611037908,
P379,8592374,8589271,2141.3902024271483,2735.0,3550.0,ARRIVED,593.6097975728517,815.0,1408.6097975728517,
P380,8592374,8592375,2368.4316044127736,3280.199996948242,3284.3999938964844,ARRIVED,911.7683925354686,4.1999969482421875,915.9683894837108,MINIBUS_1
P381,8592374,8592378,2159.2960964399185,2612.0,3277.0,ARRIVED,452.70390356008147,665.0,1117.7039035600815,
P382,8592374,8592378,2242.2739030277717,2612.0,3277.0,ARRIVED,369.72609697222833,665.0,1034.7260969722283,
P383,8592374,8592377,1986.3695405177236,2612.0,3154.0,ARRIVED,625.6304594822764,542.0,1167.6304594822764,
P384,8592374,8592377,2038.2902856014205,2612.0,3154.0,ARRIVED,573.7097143985795,542.0,1115.7097143985795,
P385,8592374,8592377,2261.0561934360703,2612.0,3154.0,ARRIVED,350.9438065639297,542.0,892.9438065639297,
P386,8592374,8589270,1888.6840924594212,2341.0,2784.0,ARRIVED,452.3159075405788,443.0,895.3159075405788,
P387,8592374,8589270,1912.791916739115,2341.0,2784.0,ARRIVED,428.2080832608849,443.0,871.2080832608849,
P388,8592374,8589270,2135.4801734429357,2341.0,2784.0,ARRIVED,205.51982655706433,443.0,648.5198265570643,
P389,8592374,8589270,2282.402258280143,2341.0,2784.0,ARRIVED,58.59774171985691,443.0,501.5977417198569,
P390,8592374,8589158,1873.4309860423516,2341.0,2885.0,ARRIVED,467.5690139576484,544.0,1011.5690139576484,
P391,8592374,8589158,2064.6079971732,2341.0,2885.0,ARRIVED,276.39200282679985,544.0,820.3920028267999,
P392,8592374,8589158,2144.883409075349,2341.0,2885.0,ARRIVED,196.11659092465106,544.0,740.1165909246511,
P393,8592374,8589158,2227.1948671733635,2341.0,2885.0,ARRIVED,113.80513282663651,544.0,657.8051328266365,
P394,8589130,8592374,1954.994194196435,2719.0,,ONBOARD,764.005805803565,,,
P395,8589130,8592374,1998.1605808135248,2719.0,,ONBOARD,720.8394191864752,,,
P396,8589130,8592374,2006.922087243153,2719.0,,ONBOARD,712.0779127568469,,,
P397,8589131,8592374,2090.519690118204,2464.0,3045.0,ARRIVED,373.4803098817961,581.0,954.4803098817961,
P398,8588344,8592374,1820.5269851565808,2078.0,2735.0,ARRIVED,257.47301484341915,657.0,914.4730148434192,
P399,8588344,8592374,1833.0937752618618,2078.0,2735.0,ARRIVED,244.90622473813823,657.0,901.9062247381382,
P400,8588344,8592374,1834.3496160846335,2078.0,2735.0,ARRIVED,243.65038391536655,657.0,900.6503839153665,
P401,8588344,8592374,1871.3513813573536,2078.0,2735.0,ARRIVED,206.6486186426464,657.0,863.6486186426464,
P402,8588344,8592374,1947.7568707000632,2078.0,2735.0,ARRIVED,130.24312929993675,657.0,787.2431292999368,
P403,8588344,8592374,1990.4410307767332,2078.0,2735.0,ARRIVED,87.55896922326679,657.0,744.5589692232668,
P404,8588344,8592374,2039.7541361620274,2078.0,2735.0,ARRIVED,38.24586383797259,657.0,695.2458638379726,
P405,8588344,8592374,2240.759409560437,2534.0,3045.0,ARRIVED,293.2405904395632,511.0,804.2405904395632,
P406,8588344,8592374,2277.4539193683036,2534.0,3045.0,ARRIVED,256.54608063169644,511.0,767.5460806316964,
P407,8588344,8592374,2339.2989217745026,2534.0,3045.0,ARRIVED,194.70107822549744,511.0,705.7010782254974,
P408,8577786,8592374,1901.016026259836,2178.0,2735.0,ARRIVED,276.98397374016395,557.0,833.983973740164,
P409,8577786,8592374,2095.634121330453,2178.0,2735.0,ARRIVED,82.36587866954687,557.0,639.3658786695469,
P410,8577785,8592374,2158.3428498449603,2265.0,2735.0,ARRIVED,106.65715015503974,470.0,576.6571501550397,
P411,8577785,8592374,2177.4326753627406,2265.0,2735.0,ARRIVED,87.56732463725939,470.0,557.5673246372594,
P412,8592375,8592374,2206.5016685973183,2404.0,3349.0,ARRIVED,197.49833140268174,945.0,1142.4983314026817,
P413,8592375,8592374,2385.7429412081556,2404.0,3349.0,ARRIVED,18.25705879184443,945.0,963.2570587918444,
P414,8592377,8592374,1901.773693900104,2735.0,3349.0,ARRIVED,833.226306099896,614.0,1447.226306099896,
P415,8592377,8592374,1961.566098715179,2735.0,3349.0,ARRIVED,773.4339012848211,614.0,1387.433901284821,
P416,8592377,8592374,2112.0890398088277,2735.0,3349.0,ARRIVED,622.9109601911723,614.0,1236.9109601911723,
P417,8592377,8592374,2153.283309966168,2735.0,3349.0,ARRIVED,581.716690033832,614.0,1195.716690033832,
P418,8592377,8592374,2165.117605712603,2735.0,3349.0,ARRIVED,569.8823942873969,614.0,1183.882394287397,
P419,8592377,8592374,2185.8138886694655,2735.0,3349.0,ARRIVED,549.1861113305345,614.0,1163.1861113305345,
P420,8592377,8592374,2206.3666522795165,2735.0,3349.0,ARRIVED,528.6333477204835,614.0,1142.6333477204835,
P421,8592377,8592374,2231.0806375130173,2735.0,3349.0,ARRIVED,503.91936248698266,614.0,1117.9193624869827,
P422,8592377,8592374,2253.499647423145,2735.0,3349.0,ARRIVED,481.5003525768552,614.0,1095.5003525768552,
P423,8589158,8592374,1830.1119535551722,2029.0,2612.0,ARRIVED,198.88804644482775,583.0,781.8880464448278,
P424,8589158,8592374,1893.732850924393,2029.0,2612.0,ARRIVED,135.267149075607,583.0,718.267149075607,
P425,8589158,8592374,2234.3789696936465,2950.0,,ONBOARD,715.6210303063535,,,MINIBUS_1
P426,8589158,8592374,2330.7361409406353,2950.0,,ONBOARD,619.2638590593647,,,MINIBUS_1
P427,8587356,8592374,1913.47711026793,2165.0,2606.0,ARRIVED,251.5228897320701,441.0,692.5228897320701,
P428,8587356,8592374,2041.607698864987,2165.0,2606.0,ARRIVED,123.39230113501299,441.0,564.392301135013,
P429,8587356,8592374,2066.6440264955263,2165.0,2606.0,ARRIVED,98.3559735044737,441.0,539.3559735044737,
P430,8587356,8592374,2177.672432934875,2652.0,3063.0,ARRIVED,474.3275670651251,411.0,885.3275670651251,
P431,8587356,8592374,2373.601304113562,2652.0,3063.0,ARRIVED,278.39869588643796,411.0,689.398695886438,
P432,8589141,8589161,2418.5771815720736,2747.0,3286.0,ARRIVED,328.42281842792636,539.0,867.4228184279264,
P433,8589141,8589161,2444.288424270744,2747.0,3286.0,ARRIVED,302.71157572925586,539.0,841.7115757292559,
P434,8589141,8589161,2567.81429294382,2747.0,3286.0,ARRIVED,179.18570705618004,539.0,718.18570705618,
P435,8589141,8589161,2614.0327342128394,2747.0,3286.0,ARRIVED,132.9672657871606,539.0,671.9672657871606,
P436,8589141,8589161,2704.628957315023,2747.0,3286.0,ARRIVED,42.371042684977056,539.0,581.371042684977,
P437,8589141,8589161,2844.629994257889,3148.199996948242,3188.3999977111816,ARRIVED,303.57000269035325,40.20000076293945,343.7700034532927,MINIBUS_1
P438,8589152,8589161,2412.0317190300048,2830.2000007629395,2848.7999877929688,ARRIVED,418.1682817329347,18.599987030029297,436.768268762964,MINIBUS_1
P439,8589152,8589161,2893.979992177841,3168.0,3188.3999977111816,ARRIVED,274.0200078221592,20.39999771118164,294.4200055333408,MINIBUS_1
P440,8589138,8592374,2425.5886291129004,2429.0,3063.0,ARRIVED,3.411370887099565,634.0,637.4113708870996,
P441,8591766,8592374,2704.4032255654715,2935.0,3402.0,ARRIVED,230.59677443452847,467.0,697.5967744345285,
P442,8591766,8592374,2711.965964872691,2935.0,3402.0,ARRIVED,223.03403512730893,467.0,690.0340351273089,
P443,8591766,8592374,2750.867186048129,2935.0,3402.0,ARRIVED,184.13281395187096,467.0,651.132813951871,
P444,8591766,8592374,2947.779408035326,3392.3999938964844,,ONBOARD,444.62058586115836,,,MINIBUS_1
P445,8587255,8592374,2424.477555847416,2794.0,3063.0,ARRIVED,369.52244415258383,269.0,638.5224441525838,
P446,8587255,8592374,2452.6654395892,2794.0,3063.0,ARRIVED,341.3345604107999,269.0,610.3345604107999,
P447,8587255,8592374,2508.1996527921247,2794.0,3063.0,ARRIVED,285.80034720787535,269.0,554.8003472078753,
P448,8587255,8592374,2587.7191605523585,2794.0,3063.0,ARRIVED,206.28083944764148,269.0,475.2808394476415,
P449,8587255,8592374,2703.2793806393847,2794.0,3063.0,ARRIVED,90.72061936061527,269.0,359.7206193606153,
P450,8587255,8592374,2758.516888199427,2794.0,3063.0,ARRIVED,35.48311180057317,269.0,304.48311180057317,
P451,8587255,8592374,2833.023821305937,3178.0,3402.0,ARRIVED,344.97617869406304,224.0,568.976178694063,
P452,8587255,8592374,2998.171294152718,3178.0,3402.0,ARRIVED,179.82870584728198,224.0,403.828705847282,
P453,8589161,8589141,2574.5619731294382,2916.0,3495.0,ARRIVED,341.43802687056177,579.0,920.4380268705618,
P454,8589161,8589138,2830.0674673250405,2916.0,3373.0,ARRIVED,85.93253267495948,457.0,542.9325326749595,
