================================================================================
MINIBUS TRAVEL TIME DEBUG LOG
================================================================================

[UPDATE_ROUTE   ] MINIBUS_5:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t= 8700.0s | arrive= 8700.0s
[ARRIVE         ] MINIBUS_5:    8592374 -> 8592375    | travel= 306.0s | occ= 1/8 | t= 8700.0s | arrive= 9006.0s
[ARRIVE         ] MINIBUS_4:    8589161 -> 8592377    | travel= 364.8s | occ= 1/8 | t= 8758.2s | arrive= 9123.0s
[ARRIVE         ] MINIBUS_2:    8577820 -> 8592374    | travel= 216.0s | occ= 2/8 | t= 8763.0s | arrive= 8979.0s
[ARRIVE         ] MINIBUS_1:    8592377 -> 8592374    | travel= 394.8s | occ= 2/8 | t= 8863.2s | arrive= 9258.0s
[ARRIVE         ] MINIBUS_3:    8577820 -> 8592374    | travel= 216.0s | occ= 0/8 | t= 8902.8s | arrive= 9118.8s
[ARRIVE         ] MINIBUS_2:    8592374 -> 8589161    | travel=  91.8s | occ= 5/8 | t= 8979.0s | arrive= 9070.8s
[ARRIVE         ] MINIBUS_2:    8589161 -> 8589152    | travel= 477.0s | occ= 6/8 | t= 9070.8s | arrive= 9547.8s
[ARRIVE         ] MINIBUS_3:    8592374 -> 8589161    | travel=  91.8s | occ= 0/8 | t= 9118.8s | arrive= 9210.6s
[ARRIVE         ] MINIBUS_4:    8592377 -> 8592374    | travel= 394.8s | occ= 1/8 | t= 9123.0s | arrive= 9517.8s
[ARRIVE         ] MINIBUS_3:    8589161 -> 8587255    | travel=  90.0s | occ= 0/8 | t= 9210.6s | arrive= 9300.6s
[UPDATE_ROUTE   ] MINIBUS_1:    8592374 -> 8592374    | travel=   0.0s | occ= 1/8 | t= 9300.0s | arrive= 9300.0s
[ARRIVE         ] MINIBUS_1:    8592374 -> 8589161    | travel=  91.8s | occ= 3/8 | t= 9300.0s | arrive= 9391.8s
[ARRIVE         ] MINIBUS_3:    8587255 -> 8592374    | travel= 190.2s | occ= 0/8 | t= 9300.6s | arrive= 9490.8s
[ARRIVE         ] MINIBUS_1:    8589161 -> 8589158    | travel= 502.2s | occ= 5/8 | t= 9391.8s | arrive= 9894.0s
[ARRIVE         ] MINIBUS_3:    8592374 -> 8592377    | travel= 379.8s | occ= 1/8 | t= 9490.8s | arrive= 9870.6s
[ARRIVE         ] MINIBUS_4:    8592374 -> 8592377    | travel= 379.8s | occ= 1/8 | t= 9517.8s | arrive= 9897.6s
[ARRIVE         ] MINIBUS_2:    8589152 -> 8589271    | travel= 115.8s | occ= 4/8 | t= 9547.8s | arrive= 9663.6s
[UPDATE_ROUTE   ] MINIBUS_5:    8592375 -> 8577785    | travel= 183.0s | occ= 0/8 | t= 9600.0s | arrive= 9783.0s
[ARRIVE         ] MINIBUS_2:    8589271 -> 8589138    | travel= 208.8s | occ= 3/8 | t= 9663.6s | arrive= 9872.4s
[ARRIVE         ] MINIBUS_5:    8577785 -> 8592374    | travel= 349.2s | occ= 1/8 | t= 9783.0s | arrive=10132.2s
[ARRIVE         ] MINIBUS_3:    8592377 -> 8592374    | travel= 394.8s | occ= 0/8 | t= 9870.6s | arrive=10265.4s
[ARRIVE         ] MINIBUS_2:    8589138 -> 8592374    | travel= 529.8s | occ= 2/8 | t= 9872.4s | arrive=10402.2s
[ARRIVE         ] MINIBUS_1:    8589158 -> 8504622    | travel=  85.2s | occ= 4/8 | t= 9894.0s | arrive= 9979.2s
[ARRIVE         ] MINIBUS_1:    8504622 -> 8589271    | travel= 204.0s | occ= 2/8 | t= 9979.2s | arrive=10183.2s
[ARRIVE         ] MINIBUS_5:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t=10132.2s | arrive=10132.2s
[ARRIVE         ] MINIBUS_5:    8592374 -> 8589131    | travel= 472.2s | occ= 2/8 | t=10132.2s | arrive=10604.4s
[ARRIVE         ] MINIBUS_1:    8589271 -> 8592374    | travel= 702.0s | occ= 1/8 | t=10183.2s | arrive=10885.2s
[UPDATE_ROUTE   ] MINIBUS_4:    8592377 -> 8589161    | travel= 394.2s | occ= 0/8 | t=10200.0s | arrive=10594.2s
